Wie heißt die Unterseite des Kopfes bei einem Golfschläger?;Plate;Flat;Brass;Sole;4;Allgemeinwissen
Von welchem Land ist Marrakesch die ehemalige Hauptstadt?;Tunesien;Marokko;Ägypten;Libyen;2;Allgemeinwissen
Wie nennt man in der Geometrie die Gerade von der Mitte eines Kreises zu dessen Rand?;Tangente;Diagonale;Sektor;Radius;4;Allgemeinwissen
Wie hieß die Währung Italiens vor dem Euro?;Tolar;Lira;Schilling;Markka;2;Allgemeinwissen
Wie heißt das Hauptelement, welches man für den Betrieb eines Atomkraftwerkes benötigt?;Uran;Carbon;Arsen;Wasserstoff;1;Allgemeinwissen
Wie heißt ein Segelboot mit drei Rümpfen?;Trifolium;Triforium;Trilobit;Trimaran;4;Allgemeinwissen
Den 65. Hochzeitstag nennt man auch…;Gnadenhochzeit;Diamantenhochzeit;Eiserne Hochzeit;Steinerne Hochzeit;3;Allgemeinwissen
Wann ist Fronleichnam?;Am 1. Donnerstag nach Pfingsten;Am 2. Donnerstag nach Pfingsten;Am 3. Donnerstag nach Pfingsten;Am 4. Donnerstag nach Pfingsten;2;Allgemeinwissen
Andreas Goldberger ist ein ehemaliger…;Basketballspieler;Marathonläufer;Skispringer;Kanufahrer;3;Allgemeinwissen
Mit wie viel Karten spielt man Doppelkopf?;48;36;50;52;1;Allgemeinwissen
"Ein anderes Wort für ""Menschenhasser"" ist?";Missal;Grant;Misanthrop;Pessimist;3;Allgemeinwissen
Was ist das chemische Zeichen von Blei?;Pb;Bl;Be;Pi;1;Allgemeinwissen
Was sollte man nicht vor dem Abend loben?;Tag;Morgen;Mittag;Nacht;1;Allgemeinwissen
Was ist Guano?;Eine Affenart;Eine Droge;Vogelkot;Ein Duft;3;Allgemeinwissen
Was regelt das Schengener Abkommen?;Die Einführung des Euro;Die Abschaffung der D-Mark;Den Verzicht auf Grenzkontrollen;Die Gründung des Europäischen Gerichtshofes;3;Allgemeinwissen
Ca. wie viele Menschen leben in der EU?;850 Mio;730 Mio;620 Mio;510 Mio;4;Allgemeinwissen
Was ist ein Abakus?;Ein Perlenzähler;Eine Muschel;Ein Münztisch;Ein Rechenbrett;4;Allgemeinwissen
Was ist der Plural von Eis?;Hat keinen Plural;Eis;Eises;Eisnisse;2;Allgemeinwissen
Wer erhält bei Amtsantritt das Bundesverdienstkreuz?;Bundeskanzler;Oberstaatsanwalt;Präsident des Bundesverfassungsgerichtes;Bundespräsident;4;Allgemeinwissen
Wie lang war die Tour de France 2018?;4.259 Kilometer;3.351 Kilometer;7.232 Kilometer;2.384 Kilometer;2;Allgemeinwissen
Wie nennt man die Kopftücher der alten Ägypter?;Nemes Kopftuch;Tuch des Re;Kemet Kopftuch;Tuch des Osiris;1;Allgemeinwissen 2
Mit welcher Kunstform verbindet man Anton Corbijn?;Fotografie;Bildhauerei;Tanz;Architektur;1;Allgemeinwissen 2
Wie nennt man die Vermessung der Erdoberfläche?;Geologie;Geomorphologie;Geomatik;Geodäsie;4;Allgemeinwissen 2
